RecordId,Timestamp,socket0-package-power
213,11:20:55:741,   35.83
214,11:20:55:841,   35.69
215,11:20:55:941,   36.08
216,11:20:56:041,   36.81
217,11:20:56:141,   36.55
218,11:20:56:241,   36.50
219,11:20:56:341,   36.00
220,11:20:56:441,   35.75
221,11:20:56:541,   35.44
222,11:20:56:641,   36.30
223,11:20:56:741,   35.81
224,11:20:56:841,   36.97
225,11:20:56:941,   36.12
226,11:20:57:041,   35.41
227,11:20:57:141,   36.12
228,11:20:57:241,   35.93
229,11:20:57:341,   35.97
230,11:20:57:441,   36.37
231,11:20:57:541,   38.53
232,11:20:57:641,   35.59
233,11:20:57:741,   35.79
234,11:20:57:841,   35.73
235,11:20:57:941,   35.78
236,11:20:58:041,   36.02
237,11:20:58:141,   36.31
238,11:20:58:241,   35.71
239,11:20:58:341,   36.49
240,11:20:58:441,   36.92
241,11:20:58:541,   36.70
242,11:20:58:641,   35.77
243,11:20:58:741,   35.80
244,11:20:58:841,   35.70
245,11:20:58:941,   35.80
246,11:20:59:041,   35.80
247,11:20:59:141,   36.04
248,11:20:59:241,   35.77
249,11:20:59:341,   35.91
250,11:20:59:441,   37.68
251,11:20:59:541,   59.91
252,11:20:59:641,   63.21
253,11:20:59:741,   63.29
254,11:20:59:841,   63.06
255,11:20:59:941,   63.04
256,11:21:0:041,   63.96
257,11:21:0:141,   63.79
258,11:21:0:241,   62.86
259,11:21:0:341,   63.61
260,11:21:0:441,   63.62
261,11:21:0:541,   64.19
262,11:21:0:641,   63.69
263,11:21:0:741,   63.54
264,11:21:0:841,   63.20
265,11:21:0:941,   63.05
266,11:21:1:041,   62.98
267,11:21:1:141,   63.28
268,11:21:1:241,   62.37
269,11:21:1:341,   63.13
270,11:21:1:441,   63.15
271,11:21:1:541,   63.13
272,11:21:1:641,   63.34
273,11:21:1:741,   62.43
274,11:21:1:841,   63.04
275,11:21:1:941,   63.04
276,11:21:2:041,   63.19
277,11:21:2:141,   63.32
278,11:21:2:241,   63.17
279,11:21:2:341,   62.40
280,11:21:2:441,   63.12
281,11:21:2:541,   63.29
282,11:21:2:641,   63.08
283,11:21:2:741,   63.03
284,11:21:2:841,   62.66
285,11:21:2:941,   63.13
286,11:21:3:041,   63.23
287,11:21:3:141,   63.31
288,11:21:3:241,   63.04
289,11:21:3:341,   62.61
290,11:21:3:441,   63.29
291,11:21:3:541,   63.35
292,11:21:3:641,   63.31
293,11:21:3:741,   63.64
294,11:21:3:841,   62.85
295,11:21:3:941,   63.23
296,11:21:4:041,   63.24
297,11:21:4:141,   63.24
298,11:21:4:241,   63.28
299,11:21:4:341,   62.70
300,11:21:4:441,   63.74
301,11:21:4:541,   63.61
302,11:21:4:641,   63.82
303,11:21:4:741,   63.73
304,11:21:4:841,   63.85
305,11:21:4:941,   63.23
306,11:21:5:041,   63.99
307,11:21:5:141,   63.53
308,11:21:5:241,   63.11
309,11:21:5:341,   63.46
310,11:21:5:441,   62.44
311,11:21:5:541,   63.17
312,11:21:5:641,   63.54
313,11:21:5:741,   63.44
314,11:21:5:841,   63.16
315,11:21:5:941,   62.68
316,11:21:6:041,   63.16
317,11:21:6:141,   63.68
318,11:21:6:241,   63.48
319,11:21:6:341,   63.18
320,11:21:6:441,   62.47
321,11:21:6:541,   63.04
322,11:21:6:641,   63.43
323,11:21:6:741,   63.07
324,11:21:6:841,   63.37
325,11:21:6:941,   62.49
326,11:21:7:041,   63.07
327,11:21:7:141,   63.36
328,11:21:7:241,   63.15
329,11:21:7:341,   63.09
330,11:21:7:441,   63.33
331,11:21:7:541,   62.67
332,11:21:7:641,   63.20
333,11:21:7:741,   63.13
334,11:21:7:841,   63.23
335,11:21:7:941,   63.06
336,11:21:8:041,   62.70
337,11:21:8:141,   63.33
338,11:21:8:241,   63.05
339,11:21:8:341,   63.09
340,11:21:8:441,   63.36
341,11:21:8:541,   62.72
342,11:21:8:641,   63.37
343,11:21:8:741,   63.22
344,11:21:8:841,   63.17
345,11:21:8:941,   63.02
346,11:21:9:041,   62.72
347,11:21:9:141,   63.27
348,11:21:9:241,   63.13
349,11:21:9:341,   63.21
350,11:21:9:441,   63.21
351,11:21:9:541,   63.16
352,11:21:9:641,   62.60
353,11:21:9:741,   63.06
354,11:21:9:841,   63.20
355,11:21:9:941,   63.09
356,11:21:10:041,   63.09
357,11:21:10:141,   62.60
358,11:21:10:241,   63.21
359,11:21:10:341,   63.21
360,11:21:10:441,   63.07
361,11:21:10:541,   63.26
362,11:21:10:641,   62.89
363,11:21:10:741,   64.37
364,11:21:10:841,   63.17
365,11:21:10:941,   63.25
366,11:21:11:041,   63.29
367,11:21:11:141,   62.76
368,11:21:11:241,   63.27
369,11:21:11:341,   63.27
370,11:21:11:441,   63.32
371,11:21:11:541,   63.30
372,11:21:11:641,   63.01
373,11:21:11:741,   63.35
374,11:21:11:841,   63.38
375,11:21:11:941,   63.77
376,11:21:12:041,   63.61
377,11:21:12:141,   63.88
378,11:21:12:241,   63.43
379,11:21:12:341,   63.69
380,11:21:12:441,   63.90
381,11:21:12:541,   63.69
382,11:21:12:641,   63.64
383,11:21:12:741,   63.42
384,11:21:12:841,   63.96
385,11:21:12:941,   63.89
386,11:21:13:041,   63.89
387,11:21:13:141,   64.00
388,11:21:13:241,   62.87
389,11:21:13:341,   63.29
390,11:21:13:441,   63.28
391,11:21:13:541,   63.58
392,11:21:13:641,   63.68
393,11:21:13:741,   62.83
394,11:21:13:841,   63.31
395,11:21:13:941,   63.22
396,11:21:14:041,   63.28
397,11:21:14:141,   63.35
398,11:21:14:241,   63.39
399,11:21:14:341,   62.79
400,11:21:14:441,   63.24
401,11:21:14:541,   43.09
402,11:21:14:641,   36.62
403,11:21:14:741,   40.31
404,11:21:14:841,   39.14
405,11:21:14:941,   36.47
406,11:21:15:041,   35.79
407,11:21:15:141,   36.13
408,11:21:15:241,   36.46
409,11:21:15:341,   35.57
410,11:21:15:441,   35.79
411,11:21:15:541,   35.80
412,11:21:15:641,   35.91
413,11:21:15:741,   35.77
414,11:21:15:841,   35.56
415,11:21:15:941,   35.71
416,11:21:16:041,   35.68
417,11:21:16:141,   35.97
418,11:21:16:241,   35.67
419,11:21:16:341,   35.38
420,11:21:16:441,   35.68
421,11:21:16:541,   35.75
422,11:21:16:641,   35.87
423,11:21:16:741,   35.85
424,11:21:16:841,   35.79
425,11:21:16:941,   35.39
426,11:21:17:041,   35.71
427,11:21:17:141,   35.96
428,11:21:17:241,   35.73
429,11:21:17:341,   35.78
430,11:21:17:441,   35.83
431,11:21:17:541,   37.88
432,11:21:17:641,   36.29
433,11:21:17:741,   35.83
434,11:21:17:841,   35.68
435,11:21:17:941,   35.43
436,11:21:18:041,   35.67
